ID,Title,Location,Salary,Summary
,데이터분석 신입사원 채용,서울 순화동,,"우대사항 L-TAB / 면접유형 담당업무 근무지 데이터분석 (0명) 데이터분석 관련 전공 R, Python 활용 가능자 L-TAB : 인적성진단(온라인) 면접유형 : 역량면접, PT면접, 인성면접 데이터..."
,[인턴십] 센서 실험실 엔지니어 (12개월),서울 강남구,,학사.석사 재학생 및 휴학생 - Python 등 소프트웨어 언어 사용 경험... 험실 관리 지원- 전공 무관 / 대학교 학사.석사 재학생 및 휴학생- Python 등 소프트웨어 언어 사용 경험이 있는 분- 12개월 간 업무를 진행...
,Cloud Developer - SAP HANA Cloud and Databases,서울,,"patterns Experience in one or more... following: Python, Go Strong team player with accountability and integrity Good..."
,[메이플스토리 유니버스] MOD N 게임 서버 프로그래머,경기도 성남,,"능숙하신 분 - 네트워크 프로그래밍, 멀티 스레드 프로그래밍 경험이 있으신 분 - C#, Java, Python 등을 활용해서 API 서비스 개발 경험이 있으신 분 - NoSQL(MongoDB, DynamoDB 등)에..."
,Web RTC UC & Collaboration Frontend & Backend Developer,서울 금천구,,JAVA|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL...
,악성코드 및 엔드포인트 보안 엔지니어 모집,성남 판교역,,"ELK, SOAR, EDR, NAC, PMS 등) 이슈를 적극적으로 발견하고 개선하고자 하는 능동적인 성격 Python/Linux shell script 중급 이상 가능자 지원프로세스 서류전형 > 원격 인터뷰 > 1차..."
,GUI 시스템 개발,서울 송파구,,로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>ASP.NET|인터넷·IT·통신·모바일·게임>웹프로그래머...
,CTO부문 정밀분석 경력사원,서울 강서구,,"등 나노 구조/형상분석장비 숙련자) ※ 반도체 불량분석 경험자 우대(반도체 구조분석, 회로 구조분석 등) ※ Python 프로그래밍 가능자 우대 공통 지원자격 - 석사 학위 이상, 모집 직무 관련 3년 이상 직장 경력 보유자..."
,현대백화점 H.Point팀 데이터 분석/기획 경력,서울 삼성역,,"적용 모델링 - OLAP툴, R, Python, SQL 등 활용 분석 수행 및 리포팅 - 학사 이상 학위 취득자 - OLAP툴 사용 경험(3년 이상) - R, Python, SQL 등 심화 분석툴 경험(2년..."
,부문별 직원,경기도 포천,,게임>웹프로그래머>백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>컨텐츠·사이트운영>웹사이트운영·테스터... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
,카카오 전사QA 모집,성남 판교역,,"능력 보유 능동적이고 빠른 실행력 보유 [우대사항] 테스트 자동화 설계 경험자 혹은 스크립트 언어( python, java, javascript 등) 가능자 다앙한 테스트 도구(Postman, Appium, Selenium..."
,데이터 엔지니어 (Data Engineer),서울 영등포구,,"Apache Kafka 언어: Python, Scala, Go 인프라... 필요합니다. 하나 이상의 백엔드 프로그래밍 언어(e.g., Go, Python, Scala, Java)를 능숙히 활용하실 수 있으셔야 합니다. 클라우..."
,[신용리스크모델링 Intern] 개인 신용평가모형 개발 및 운영직(채용 연계형),성남 삼평동,,"Learning을 비롯한 최신 통계모형을 활용하여 신용평가모형을 개발하고 운영합니다. SAS, SQL, Python, R 등을 활용한 데이터 분석 능력이 필요하며, 데이터 분석 대회에서 입상한 분, 통계/수학/산업공학/상경계..."
,Modelling & Simulation (M&S) Software Engineer,서울,,"JavaScript, CSS3, ASP.Net, Java, JSP, Python, SQL, Linux, Apache, Mysql, and PHP... programing languages: Python, JavaScript..."
